mat_type,mat_group,GWP Intensity - No Filter mean,GWP Intensity - No Filter - Education mean,GWP Intensity - No Filter - Healthcare mean,GWP Intensity - No Filter - Laboratory mean,GWP Intensity - No Filter - Office mean,GWP Intensity - No Filter - Other mean,GWP Intensity - No Filter - Public Assembly mean,GWP Intensity - No Filter - Public Order and Safety mean,GWP Intensity - No Filter - Residential: Multifamily (5 or more units) mean,GWP Intensity - No Filter - Warehouse and Storage mean,Material Intensity - No Filter mean,Material Intensity - No Filter - Education mean,Material Intensity - No Filter - Healthcare mean,Material Intensity - No Filter - Laboratory mean,Material Intensity - No Filter - Office mean,Material Intensity - No Filter - Other mean,Material Intensity - No Filter - Public Assembly mean,Material Intensity - No Filter - Public Order and Safety mean,Material Intensity - No Filter - Residential: Multifamily (5 or more units) mean,Material Intensity - No Filter - Warehouse and Storage mean,GWP Intensity - No Filter median,GWP Intensity - No Filter - Education median,GWP Intensity - No Filter - Healthcare median,GWP Intensity - No Filter - Laboratory median,GWP Intensity - No Filter - Office median,GWP Intensity - No Filter - Other median,GWP Intensity - No Filter - Public Assembly median,GWP Intensity - No Filter - Public Order and Safety median,GWP Intensity - No Filter - Residential: Multifamily (5 or more units) median,GWP Intensity - No Filter - Warehouse and Storage median,Material Intensity - No Filter median,Material Intensity - No Filter - Education median,Material Intensity - No Filter - Healthcare median,Material Intensity - No Filter - Laboratory median,Material Intensity - No Filter - Office median,Material Intensity - No Filter - Other median,Material Intensity - No Filter - Public Assembly median,Material Intensity - No Filter - Public Order and Safety median,Material Intensity - No Filter - Residential: Multifamily (5 or more units) median,Material Intensity - No Filter - Warehouse and Storage median
Acoustic ceiling tile aluminum,Acoustic ceilings,0.9391563944834236,2.5763192624346067,0.6196221072965523,0.0097123665677453,1.4136388060824403,1.0944486176725263,1.570304808956244,,0.0506491048757416,,0.178646696327783,0.5188474209753725,0.0963671866637261,0.001489051311736,0.2781835166215766,0.1593007202905427,0.3603629176810865,,0.0073572679867396,,0.2717239157436046,1.028494557455393,0.4915309678849262,0.0080716356633461,0.1464639188765788,0.6151343832794297,0.7849769879711557,,0.0203954278471235,,0.0477331969010376,0.1637433381199987,0.0764867165846849,0.001277407826505,0.0252940677747906,0.0890081801132121,0.2042177549430964,,0.0022918810937251,
Acoustic ceiling tile fiber,Acoustic ceilings,0.8854797705332084,1.2914514181212695,2.72194912820125,0.8369948443302496,2.212807545796773,0.3291382357699722,0.4372768487410387,0.9529261696288672,0.2983122315196642,0.0935604513522388,0.6797504726240792,0.8644921733479058,1.3443111071653506,0.2658077357586635,2.3399558002662317,0.1760823713907778,0.4454190216258989,0.4852734399698973,0.1578104624562025,0.3959515669539523,0.5515374227833181,1.082816837772466,3.0368871173058527,0.2001070645364001,0.5892815869617035,0.3274449230289458,0.3697456912448205,0.9629415747386502,0.0224557955305992,0.077212199680325,0.4700768363813218,0.6696427886016644,1.3079159429350964,0.1065892676579518,0.4127977186599726,0.1540692831584021,0.3769759405983477,0.5356509628140099,0.0109494329399435,0.0846845253290174
Acoustic ceiling tile steel,Acoustic ceilings,0.6123536757800166,0.0080976808571421,,2.5690726617421946,0.7130308858083338,1.2517899515253177,0.067946323263352,0.963102629840357,0.0159360848510532,,0.2287579556780916,0.0036721339845833,,0.7437223213084821,0.3098439327337239,0.3353616826352584,0.0366097333514178,0.3636609279749035,0.0052830800896613,,0.0716330417982939,0.0082902803626503,,2.135073709749808,0.182035474699242,1.2389667699380806,0.0557679681257452,0.9034668096472503,0.007464367238441,,0.0290670143983841,0.0030669962128271,,0.6380147591276674,0.0739376996116302,0.3388240545650532,0.0340969483564301,0.3710816896003016,0.0019086391413285,
Acoustic ceilings - other,Acoustic ceilings,0.7329689730461184,0.8391429732118185,0.1042418379768737,,0.4072965406562965,0.8576131162277939,,,1.1381567953900973,,0.6310335868919388,1.3006672104916384,0.0598019433848248,,0.3327179191450506,0.5226643223188505,,,0.61071514307088,,0.6263581060310743,0.8591015915548389,0.1037801372084192,,0.3763313043533258,0.8488278334352733,,,0.5331058647794122,,0.4646136651328644,1.0863278479145455,0.0602246897820176,,0.2794232205209259,0.5280604613890082,,,0.2206354638742283,
Adhesives and sealants,Adhesives and sealants,0.3938662172917801,0.4722595396870238,0.4947135134190538,0.4865207294068478,0.3201635452390324,0.5644660089347933,0.346389011929119,0.7082320361840674,0.2215009191482139,,0.1921113029902468,0.2372832820745883,0.2471562162154565,0.1525244091586895,0.1509737206890014,0.2085836010363398,0.1671462764052304,0.3124311714246243,0.1569463423061789,,0.1742683950462133,0.2433263752660616,0.2909133609486395,0.2825174808527025,0.1504392940202098,0.1927514299655311,0.1267597630181102,0.6963660155679615,0.1508730863430074,,0.1324158142868433,0.1788698771038384,0.1499107210480877,0.109283819251469,0.0888870020869461,0.0871300128492,0.1324158142868433,0.3706345533969014,0.1340614113080477,
Air and vapor barriers,Air and vapor barriers,1.2833667225700296,1.638992597740682,0.6701858600182589,1.305719258214207,0.9887463661103606,0.8807374753485154,1.3806553191840554,1.479224182294152,0.9745132522786338,3.064126937050548,0.7496596599500982,0.9935429974869072,0.4836591899323523,0.5867769128205764,0.5483388763180809,0.7684771707223409,0.9646325462515896,0.9280080658489054,0.5510901279078201,0.9852499622316208,0.6774795140219138,0.9137045576007952,0.515955353312539,0.5462866022621283,0.4491999866372253,0.7769189960175069,0.8679988169752699,1.7442301489347785,0.1809584646060845,4.3451170370370376,0.4048372769429336,0.7611082208695598,0.3501346235368029,0.322682238661747,0.2337533099835567,0.5975890586687631,0.5074548566746585,0.8592266743521074,0.0842328030853608,1.3971437037037036
Aluminum - other,Aluminum,4.149203264539735,4.2475227290398045,3.75963875075574,6.88866890107976,6.154137126303459,3.896192219016264,2.8238838546384426,1.375536570174437,3.816631874441958,0.2233569636608317,0.7005173683647552,0.8367792009323641,0.6254402588787886,0.7699491442996486,1.1150610451586789,0.6688946599567573,0.4317809148409793,0.1541948418150275,0.6759224743256205,0.0175617708077989,0.8197356953064183,1.1124576766220906,0.3562243513384118,2.851733242650417,0.4989346744186035,0.4158003302679816,1.2890759666884044,1.0976093678725896,0.3641142106992673,0.1331564801271693,0.1884220834762747,0.2973287723037055,0.0828972176658829,0.2732567429198683,0.0829154016675858,0.1110443031579084,0.1986434812469712,0.1167002383696949,0.1122913545602939,0.0081522572118754
Aluminum composite panel ACM,Cladding,1.6966089954205572,2.1701517711322285,3.2814451480898628,2.8949853086578683,0.9504309332138684,5.381191029293275,0.3552281436451585,,2.388743039983665,2.0847313420363136,0.1746418174297979,0.1781889318013661,0.4431597809748283,0.2276930621796454,0.1279855091287267,0.6518270279936407,0.0540082382812626,,0.3105130241787317,0.2609062715083479,1.0147205947983482,0.9310814614144836,1.2861778392609189,3.5059083541199123,0.4630948831911523,2.876371554392421,0.1237569139983609,,1.8693113344538683,0.977706230954102,0.0976875076157014,0.0323807582899705,0.303279191310946,0.2702730129453686,0.0707926533150497,0.3638078002847457,0.0235983732687705,,0.1453140985576747,0.0594682484209984
Aluminum door,Doors and frames,0.5445571758077845,0.5070024275463679,0.5187336357359231,0.6268730371772789,0.287510532888441,1.0396538079980042,0.6223703346379446,1.4851575878862011,0.5627655473208529,,0.1047250193584885,0.0997839098191447,0.0742431096502566,0.0974647923609369,0.0621934183795154,0.1569309693961629,0.1094951114532061,0.2825404386837819,0.1000322013358767,,0.3489953051477354,0.2114734733846915,0.5404017006544738,0.0950185718106574,0.1749934601983037,1.138201838016229,0.6099645445885457,1.3031785759309769,0.2602217831632946,,0.0690027863590002,0.0496221161709779,0.0741661379088204,0.0155290809817387,0.0410660293454627,0.1871182189866913,0.115473974818327,0.1468465394688042,0.0611668669161041,
Aluminum door frame,Doors and frames,0.1899779062328426,0.1274040010162811,0.4165550113552821,0.0994570160818662,0.1883593698742267,0.0786758116407279,0.3026531404255508,0.4675342613268873,0.2768304799388307,,0.0249363739138792,0.0196333800474302,0.0524462325663044,0.0111601938580323,0.0241215894832633,0.0070383607410815,0.033887340430529,0.0549311194851592,0.0312005907696626,,0.0944318441244948,0.0745786232788447,0.303791756599345,0.0092482123567689,0.1251038299069138,0.0810371012191795,0.0583692706441786,0.4771958639335196,0.0643186904839261,,0.010974228561305,0.0119750817354787,0.0348448140913338,0.00069440533664,0.0182946598784355,0.0101858846752305,0.0070572951685603,0.063297364449447,0.0067731047896312,
